Track_EN,الشعبة_AR,College_University_AR,College_University_EN,MinScore_2022_out_of_410,Percentage,KeySkillsRequired
Scientific - Science Track,علمي علوم,طب المنصورة,Medicine Mansoura,387.0,94.39,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,هندسة بترول و تعدين السويس,Engineering Petroleum and Mining Suez,386.0,94.15,"Advanced math and physics, geological analysis, fieldwork and precise engineering calculations"
Scientific - Science Track,علمي علوم,طب سوهاج,Medicine Sohag,386.0,94.15,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب دمياط,Medicine Damietta,386.0,94.15,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب الزقازيق,Medicine Zagazig,385.0,93.9,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب فاقوس,Medicine Fakous,384.0,93.66,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب كفر الشيخ,Medicine Kafr Sheikh,383.0,93.41,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب طنطا,Medicine Tanta,383.0,93.41,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان جنوب الوادي,Medicine Dentistry South Wadi,382.0,93.17,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب الإسكندرية,Medicine Alexandria,382.0,93.17,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان المنصورة,Medicine Dentistry Mansoura,382.0,93.17,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب بور سعيد,Medicine Port Said,381.0,92.93,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب القاهرة,Medicine Cairo,381.0,92.93,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسيوط,Medicine Asyut,381.0,92.93,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب عين شمس,Medicine Ain Shams,380.0,92.68,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب المنوفية بشبين الكوم,Medicine Menoufia in Shebin Kom,380.0,92.68,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب جنوب الوادي,Medicine South Wadi,380.0,92.68,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب الاقصر,Medicine Luxor,379.0,92.44,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب بنها,Medicine Banha,379.0,92.44,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب حلوان,Medicine Helwan,378.0,92.2,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب قناة السويس بالإسماعيلية,Medicine Canal Suez in Ismailia,378.0,92.2,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب المنيا,Medicine Minya,378.0,92.2,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان الزقازيق,Medicine Dentistry Zagazig,378.0,92.2,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب السويس,Medicine Suez,377.0,91.95,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب الفيوم,Medicine Fayoum,377.0,91.95,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان كفر الشيخ,Medicine Dentistry Kafr Sheikh,377.0,91.95,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسنان المنوفية,Medicine Dentistry Menoufia,377.0,91.95,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب العريش,Medicine Al-Arish,376.0,91.71,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
Scientific - Science Track,علمي علوم,طب أسنان أسيوط,Medicine Dentistry Asyut,376.0,91.71,"High manual precision, anatomical understanding, patient care, patience, fine cosmetic skills"
Scientific - Science Track,علمي علوم,طب أسوان,Medicine Aswan,376.0,91.71,"High focus and memorization, empathy and human communication, stress tolerance, reading scientific research in English"
